|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;0,1111;0,3550;0,0407;0,1590
256;UMAP;0,0045;0,0195;0,0019;0,0079
256;NN;0,1104;0,3492;0,0402;0,1569
256;KPCA_sigmoid;0,0901;0,2927;0,0334;0,1301
256;KPCA_rbf;0,0893;0,2913;0,0331;0,1296
256;KPCA_poly;0,0908;0,2927;0,0336;0,1308
256;KPCA_linear;0,0902;0,2927;0,0334;0,1301
256;KPCA_cosine;0,0695;0,2384;0,0265;0,1045
256;BASE;0,1127;0,35;0,0405;0,1581
256;AUTOE;0,0974;0,3181;0,0355;0,1382
128;UMAP;0,0048;0,0202;0,0020;0,0078
128;NN;0,1094;0,3471;0,0399;0,1553
128;KPCA_sigmoid;0,0915;0,3;0,0338;0,1327
128;KPCA_rbf;0,0910;0,2978;0,0336;0,1322
128;KPCA_poly;0,0913;0,2985;0,0337;0,1323
128;KPCA_linear;0,0914;0,2985;0,0337;0,1324
128;KPCA_cosine;0,0701;0,2398;0,0264;0,1044
128;BASE;0,1084;0,3427;0,0398;0,1553
128;AUTOE;0,0722;0,2536;0,0281;0,1080
64;UMAP;0,0168;0,0782;0,0083;0,0316
64;NN;0,1112;0,3572;0,0412;0,1608
64;KPCA_sigmoid;0,0917;0,2978;0,0341;0,1338
64;KPCA_rbf;0,0909;0,2956;0,0337;0,1326
64;KPCA_poly;0,0923;0,3;0,0343;0,1348
64;KPCA_linear;0,0920;0,2985;0,0342;0,1345
64;KPCA_cosine;0,0724;0,2442;0,0269;0,1043
64;BASE;0,1022;0,3210;0,0371;0,1450
64;AUTOE;0,0765;0,2659;0,0301;0,1176
32;UMAP;0,0073;0,0326;0,0034;0,0126
32;NN;0,1093;0,3536;0,0407;0,1582
32;KPCA_sigmoid;0,0934;0,3014;0,0344;0,1350
32;KPCA_rbf;0,0932;0,3021;0,0345;0,1354
32;KPCA_poly;0,0933;0,3014;0,0344;0,1349
32;KPCA_linear;0,0935;0,3021;0,0345;0,1355
32;KPCA_cosine;0,0744;0,2471;0,0277;0,1093
32;BASE;0,0982;0,3239;0,0363;0,1425
32;AUTOE;0,0823;0,2840;0,0318;0,1235
16;UMAP;0,0078;0,0311;0,0031;0,0123
16;NN;0,1075;0,35;0,0397;0,1541
16;KPCA_sigmoid;0,0902;0,2942;0,0337;0,1305
16;KPCA_rbf;0,0901;0,2927;0,0335;0,1299
16;KPCA_poly;0,0907;0,2956;0,0339;0,1310
16;KPCA_linear;0,0903;0,2942;0,0337;0,1305
16;KPCA_cosine;0,0739;0,2485;0,0276;0,1084
16;BASE;0,0946;0,3028;0,0347;0,1344
16;AUTOE;0,0777;0,2811;0,0307;0,1193
8;UMAP;0,0078;0,0355;0,0036;0,0140
8;NN;0,1058;0,3398;0,0385;0,1498
8;KPCA_sigmoid;0,0872;0,2855;0,0326;0,1272
8;KPCA_rbf;0,0868;0,2833;0,0323;0,1258
8;KPCA_poly;0,0870;0,2840;0,0323;0,1260
8;KPCA_linear;0,0869;0,2840;0,0324;0,1262
8;KPCA_cosine;0,0698;0,2442;0,0274;0,1072
8;BASE;0,0926;0,3007;0,0342;0,1333
8;AUTOE;0,0543;0,1978;0,0217;0,0832
4;UMAP;0,0093;0,0384;0,0042;0,0158
4;NN;0,0949;0,3159;0,0353;0,1378
4;KPCA_sigmoid;0,0826;0,2731;0,0310;0,1190
4;KPCA_rbf;0,0833;0,2753;0,0313;0,1202
4;KPCA_poly;0,0827;0,2724;0,0309;0,1187
4;KPCA_linear;0,0828;0,2731;0,0310;0,1190
4;KPCA_cosine;0,0673;0,2362;0,0255;0,0975
4;BASE;0,0834;0,2768;0,0302;0,1175
4;AUTOE;0,0678;0,2282;0,0247;0,0948
2;UMAP;0,0081;0,0239;0,0027;0,0103
2;TSNE;0,0114;0,0405;0,0046;0,0182
2;NN;0,0887;0,2905;0,0322;0,1258
2;KPCA_sigmoid;0,0679;0,2362;0,0254;0,0969
2;KPCA_rbf;0,0673;0,2355;0,0253;0,0966
2;KPCA_poly;0,0681;0,2369;0,0255;0,0975
2;KPCA_linear;0,0683;0,2369;0,0255;0,0975
2;KPCA_cosine;0,0557;0,2050;0,0219;0,0830
2;BASE;0,0885;0,3;0,0326;0,1286
2;AUTOE;0,0640;0,2210;0,0233;0,0902
